Stock,Date,Price
Bajaj,12/14/2021,8565
Bajaj,12/15/2021,8338
Bajaj,12/16/2021,8355
Bajaj,12/17/2021,8102
Bajaj,12/20/2021,7915
Bajaj,12/21/2021,7916
Bajaj,12/22/2021,7975
Bajaj,12/23/2021,8081
Bajaj,12/24/2021,7960
Bajaj,12/27/2021,8009
Bajaj,12/28/2021,8051
Bajaj,12/29/2021,8121
Bajaj,12/30/2021,8089
Bajaj,12/31/2021,8195
Bajaj,1/3/2022,8487
Bajaj,1/4/2022,8556
Bajaj,1/5/2022,8992
Bajaj,1/6/2022,8993
Bajaj,1/7/2022,8875
Bajaj,1/10/2022,8902
Bajaj,1/11/2022,8897
Bajaj,1/12/2022,8972
Bajaj,1/13/2022,9112
Bajaj,1/14/2022,9100
Bajaj,1/17/2022,9170
Bajaj,1/18/2022,9078
Bajaj,1/19/2022,9044
Bajaj,1/20/2022,8630
Bajaj,1/21/2022,8167
Bajaj,1/24/2022,7854
Bajaj,1/25/2022,7763
Bajaj,1/27/2022,7680
Bajaj,1/28/2022,7600
Bajaj,1/31/2022,7845
Bajaj,2/1/2022,7946
Bajaj,2/2/2022,8353
Bajaj,2/3/2022,8170
Bajaj,2/4/2022,8101
Bajaj,2/7/2022,7855
Bajaj,2/8/2022,7988
Bajaj,2/9/2022,8132
Bajaj,2/10/2022,8195
Bajaj,2/11/2022,8052
Bajaj,2/14/2022,7841
Bajaj,2/15/2022,8183
Bajaj,2/16/2022,8140
Bajaj,2/17/2022,8088
Bajaj,2/18/2022,8051
Bajaj,2/21/2022,8002
Bajaj,2/22/2022,8111
Bajaj,2/23/2022,8073
Bajaj,2/24/2022,7623
Bajaj,2/25/2022,7886
Bajaj,2/28/2022,8004
Bajaj,3/2/2022,8031
Bajaj,3/3/2022,7851
Bajaj,3/4/2022,7665
Bajaj,3/7/2022,7184
Bajaj,3/8/2022,7228
Bajaj,3/9/2022,7509
Bajaj,3/10/2022,7733
Bajaj,3/11/2022,7782
Bajaj,3/14/2022,7836
Bajaj,3/15/2022,7855
Bajaj,3/16/2022,8058
Bajaj,3/17/2022,8189
Bajaj,3/21/2022,8089
Bajaj,3/22/2022,8250
Bajaj,3/23/2022,8197
Bajaj,3/24/2022,8189
Bajaj,3/25/2022,8170
Bajaj,3/28/2022,8260
Bajaj,3/29/2022,8248
Bajaj,3/30/2022,8564
Bajaj,3/31/2022,8526
Bajaj,4/1/2022,8567
Bajaj,4/4/2022,8593
Bajaj,4/5/2022,8409
Bajaj,4/6/2022,8359
Bajaj,4/7/2022,8282
Bajaj,4/8/2022,8367
Bajaj,4/11/2022,8287
Bajaj,4/12/2022,8153
Bajaj,4/13/2022,8041
Bajaj,4/18/2022,7910
Bajaj,4/19/2022,7845
Bajaj,4/20/2022,7755
Bajaj,4/21/2022,7917
Bajaj,4/22/2022,7725
Bajaj,4/25/2022,7632
Bajaj,4/26/2022,7713
Bajaj,4/27/2022,7414
Bajaj,4/28/2022,7507
Bajaj,4/29/2022,7454
Bajaj,5/2/2022,7475
Bajaj,5/4/2022,7163
Bajaj,5/5/2022,7068
Bajaj,5/6/2022,6822
Bajaj,5/9/2022,6888
Bajaj,5/10/2022,6813
Bajaj,5/11/2022,6659
Bajaj,5/12/2022,6424
Bajaj,5/13/2022,6307
Bajaj,5/16/2022,6332
Bajaj,5/17/2022,6487
Bajaj,5/18/2022,6379
Bajaj,5/19/2022,6204
Bajaj,5/20/2022,6281
Bajaj,5/23/2022,6287
Bajaj,5/24/2022,6180
Bajaj,5/25/2022,6201
Bajaj,5/26/2022,6237
Bajaj,5/27/2022,6383
Bajaj,5/30/2022,6465
Bajaj,5/31/2022,6457
Bajaj,6/1/2022,6299
Bajaj,6/2/2022,6481
Bajaj,6/3/2022,6346
Bajaj,6/6/2022,6260
Bajaj,6/7/2022,6168
Bajaj,6/8/2022,6232
Bajaj,6/9/2022,6237
Bajaj,6/10/2022,6125
Bajaj,6/13/2022,5695
Bajaj,6/14/2022,5667
Bajaj,6/15/2022,5907
Bajaj,6/16/2022,5737
Bajaj,6/17/2022,5879
Bajaj,6/20/2022,5857
Bajaj,6/21/2022,5868
Bajaj,6/22/2022,5718
Bajaj,6/23/2022,5780
Bajaj,6/24/2022,5791
Bajaj,6/27/2022,5797
Bajaj,6/28/2022,5682
Bajaj,6/29/2022,5557
Bajaj,6/30/2022,5465
Bajaj,7/1/2022,5663
Bajaj,7/4/2022,5691
Bajaj,7/5/2022,5760
Bajaj,7/6/2022,6021
Bajaj,7/7/2022,5983
Bajaj,7/8/2022,6002
Bajaj,7/11/2022,5966
Bajaj,7/12/2022,5930
Bajaj,7/13/2022,5885
Bajaj,7/14/2022,5865
Bajaj,7/15/2022,5919
Bajaj,7/18/2022,6123
Bajaj,7/19/2022,6223
Bajaj,7/20/2022,6209
Bajaj,7/21/2022,6359
Bajaj,7/22/2022,6371
Bajaj,7/25/2022,6305
Bajaj,7/26/2022,6657
Bajaj,7/27/2022,6652
Bajaj,7/28/2022,7326
Bajaj,7/29/2022,7520
Bajaj,8/1/2022,7536
Bajaj,8/2/2022,7608
Bajaj,8/3/2022,7622
Bajaj,8/4/2022,7589
Bajaj,8/5/2022,7544
Bajaj,8/8/2022,7767
Bajaj,8/10/2022,7822
Bajaj,8/11/2022,7865
Bajaj,8/12/2022,7885
Bajaj,8/16/2022,7957
Bajaj,8/17/2022,8414
Bajaj,8/18/2022,8405
Bajaj,8/19/2022,8146
Bajaj,8/22/2022,7936
Bajaj,8/23/2022,8155
Bajaj,8/24/2022,8164
Bajaj,8/25/2022,8123
Bajaj,8/26/2022,8144
Bajaj,8/29/2022,8043
Bajaj,8/30/2022,8483
Bajaj,9/1/2022,8702
Bajaj,9/2/2022,8666
Bajaj,9/5/2022,8688
Bajaj,9/6/2022,8487
Bajaj,9/7/2022,8528
Bajaj,9/8/2022,8691
Bajaj,9/9/2022,8601
Bajaj,9/12/2022,8579
Bajaj,9/13/2022,1784
Bajaj,9/14/2022,1806
Bajaj,9/15/2022,1772
Bajaj,9/16/2022,1735
Bajaj,9/19/2022,1766
Bajaj,9/20/2022,1803
Bajaj,9/21/2022,1802
Bajaj,9/22/2022,1772
Bajaj,9/23/2022,1722
Bajaj,9/26/2022,1677
Bajaj,9/27/2022,1680
Bajaj,9/28/2022,1651
Bajaj,9/29/2022,1636
Bajaj,9/30/2022,1679
Bajaj,10/3/2022,1646
Bajaj,10/4/2022,1702
Bajaj,10/6/2022,1710
Bajaj,10/7/2022,1699
Bajaj,10/10/2022,1684
Bajaj,10/11/2022,1674
Bajaj,10/12/2022,1694
Bajaj,10/13/2022,1681
Bajaj,10/14/2022,1688
Bajaj,10/17/2022,1719
Bajaj,10/18/2022,1726
Bajaj,10/19/2022,1699
Bajaj,10/20/2022,1725
Bajaj,10/21/2022,1684
Bajaj,10/24/2022,1703
Bajaj,10/25/2022,1659
Bajaj,10/27/2022,1631
Bajaj,10/28/2022,1653
Bajaj,10/31/2022,1688
Bajaj,11/1/2022,1709
Bajaj,11/2/2022,1711
Bajaj,11/3/2022,1723
Bajaj,11/4/2022,1802
Bajaj,11/7/2022,1777
Bajaj,11/9/2022,1754
Bajaj,11/10/2022,1700
Bajaj,11/11/2022,1718
Bajaj,11/14/2022,1718
Bajaj,11/15/2022,1705
Bajaj,11/16/2022,1686
Bajaj,11/17/2022,1665
Bajaj,11/18/2022,1655
Bajaj,11/21/2022,1635
Bajaj,11/22/2022,1643
Bajaj,11/23/2022,1636
Bajaj,11/24/2022,1634
Bajaj,11/25/2022,1633
Bajaj,11/28/2022,1653
Bajaj,11/29/2022,1632
Bajaj,11/30/2022,1627
Bajaj,12/1/2022,1639
Bajaj,12/2/2022,1643
Bajaj,12/5/2022,1634
Bajaj,12/6/2022,1635
Bajaj,12/7/2022,1607
Bajaj,12/8/2022,1618
Bajaj,12/9/2022,1598
Bajaj,12/12/2022,1592
Bajaj,12/13/2022,1611
Bajaj,12/14/2022,1623
Bajaj,12/15/2022,1603
Bajaj,12/16/2022,1587
Bajaj,12/19/2022,1619
Bajaj,12/20/2022,1615
Bajaj,12/21/2022,1585
Bajaj,12/22/2022,1544
Bajaj,12/23/2022,1497
Bajaj,12/26/2022,1535
Bajaj,12/27/2022,1538
Bajaj,12/28/2022,1524
Bajaj,12/29/2022,1515
Bajaj,12/30/2022,1548
Bajaj,1/2/2023,1552
Bajaj,1/3/2023,1563
Bajaj,1/4/2023,1547
Bajaj,1/5/2023,1469
Bajaj,1/6/2023,1430
Bajaj,1/9/2023,1413
Bajaj,1/10/2023,1414
Bajaj,1/11/2023,1400
Bajaj,1/12/2023,1388
Bajaj,1/13/2023,1392
Bajaj,1/16/2023,1384
Bajaj,1/17/2023,1373
Bajaj,1/18/2023,1367
Bajaj,1/19/2023,1355
Bajaj,1/20/2023,1333
Bajaj,1/23/2023,1333
Bajaj,1/24/2023,1333
Bajaj,1/25/2023,1315
Bajaj,1/27/2023,1315
Bajaj,1/30/2023,1344
Bajaj,1/31/2023,1343
Bajaj,2/1/2023,1267
Bajaj,2/2/2023,1272
Bajaj,2/3/2023,1338
Bajaj,2/6/2023,1343
Bajaj,2/7/2023,1351
Bajaj,2/8/2023,1369
Bajaj,2/9/2023,1401
Bajaj,2/10/2023,1401
Bajaj,2/13/2023,1388
Bajaj,2/14/2023,1400
Bajaj,2/15/2023,1420
Bajaj,2/16/2023,1427
Bajaj,2/17/2023,1414
Bajaj,2/20/2023,1405
Bajaj,2/21/2023,1394
Bajaj,2/22/2023,1361
Bajaj,2/23/2023,1348
Bajaj,2/24/2023,1359
Bajaj,2/27/2023,1358
Bajaj,2/28/2023,1334
Bajaj,3/1/2023,1345
Bajaj,3/2/2023,1343
Bajaj,3/3/2023,1355
Bajaj,3/6/2023,1381
Bajaj,3/8/2023,1380
Bajaj,3/9/2023,1353
Bajaj,3/10/2023,1329
Bajaj,3/13/2023,1296
Bajaj,3/14/2023,1281
Bajaj,3/15/2023,1282
Bajaj,3/16/2023,1295
Bajaj,3/17/2023,1301
Bajaj,3/20/2023,1246
Bajaj,3/21/2023,1267
Bajaj,3/22/2023,1295
Bajaj,3/23/2023,1290
Bajaj,3/24/2023,1241
Bajaj,3/27/2023,1239
Bajaj,3/28/2023,1223
Bajaj,3/29/2023,1245
Bajaj,3/31/2023,1266
Bajaj,4/3/2023,1282
Bajaj,4/5/2023,1279
Bajaj,4/6/2023,1304
Bajaj,4/10/2023,1305
Bajaj,4/11/2023,1323
Bajaj,4/12/2023,1321
Bajaj,4/13/2023,1341
Bajaj,4/17/2023,1340
Bajaj,4/18/2023,1335
Bajaj,4/19/2023,1331
Bajaj,4/20/2023,1332
Bajaj,4/21/2023,1317
Bajaj,4/24/2023,1319
